10–14,0.2,0.3,0.6,1.4,–33,–67,–86
15–19,22.3,24.2,41.5,61.8,–8,–46,–64
15–17,9.9,10.9,21.7,38.6,–9,–54,–74
18–19,40.7,43.8,71.7,94.0,–7,–43,–57
